,user name,tweet
97,L~ edtwt//shtwt,"Its been 4 days, how do my parents not catch me fasting
#edtwt #anatwt #proana #proanatwt #ricecaketwt"
98,😟,"RT @1IM4YI1: short #malespo thread ☁️♥︎
-&gt; tags : #edtwt #proana #thinspo #thinsp0 #ricecaketwt 🦋 retweet please :) https://t.co/XCjfZ7ZtPy"
99,☾ ♡ toby ♡ ☽,"RT @neglectyou: sweetspo, a thread 
-
-
-
-
-
-
🏷: #sweetspo #meanspo #edtwt #proana #thinspo #th1nspo https://t.co/fCLb6w5SsG"
100,lil 𓃟,well this is not my first rodeo but I’m back to #proana twitter and ready to consume only #thinspo for a while
101,Daisy🧃,"RT @jiwonspo: a thread of lazy / lying down / workouts you can do in bed w/ fitspo and thinspo ⋆ ˚｡⋆୨୧˚

[tagz: edtwt thread #edtwt fitspo…"
102,BunnySp0,"RT @R_NDOM_GRL: If this gets removed I’m kms 
#thinspo #ed #edtwt #proana #promia https://t.co/7S8sZJIHaK"
103,KETO Fanatic,"RT @saca_the_caca: 01/03/2022
What I ate today: 
Lemonade w/ SF sugar 0 cal
Black tea 0 cal
Chicken dumplings x13 (threw up right after) so…"
104,Saca,"01/03/2022
What I ate today: 
Lemonade w/ SF sugar 0 cal
Black tea 0 cal
Chicken dumplings x13 (threw up right after) so 150(?) cals
Diet soda 0 cal
Ham, cheese, veggie wrap 156 cal 

Exercise: -360 cal
Net: -56 cal
#edtwt #thinspo #bonespo #weightloss #proana #meanspo #sweetspo"
105,Saca,"Hey :) 
I’m Saka 
I recently “recovered” from my eating disorder and gained 23 lbs. From 82lbs to 105lbs  I want to go back so I will go back to old habits again

Height: 5’0” 
Cw: 105lbs
Gw:95lbs 
Ugw:85lbs 

Lowest reaches: 82lbs

#edtwt #proana #thinspo #bodycheck #meanspo"
106,ria,"RT @R_NDOM_GRL: If this gets removed I’m kms 
#thinspo #ed #edtwt #proana #promia https://t.co/7S8sZJIHaK"
107,holly,"RT @asiaraaaaa: New to #edtwt!!

♡Intro 
 
♡she/her 
♡3teen 
♡height: 5'1
♡I need to be skinnyy! help
♡dni if you post fatspos 
#thinspo #e…"
108,ランダム,"If this gets removed I’m kms 
#thinspo #ed #edtwt #proana #promia https://t.co/7S8sZJIHaK"
109,asiaraa,"New to #edtwt!!

♡Intro 
 
♡she/her 
♡3teen 
♡height: 5'1
♡I need to be skinnyy! help
♡dni if you post fatspos 
#thinspo #edtwt #proana #meansp0 #bonespo https://t.co/AiHMZRT6Et"
110,rottenstarlet,RT @goremachines: somebody buy me these pjssssss #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/BPGnGPw6TO
111,rottenstarlet,RT @45kilos2: just made this :)) #edtwt #ana #proana #edtwt #thinspo #meanspo #sweetspo https://t.co/iUUyYyWJjv
112,rottenstarlet,RT @goremachines: i wish i had money to buy clothes #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/HOPw5nsiQO
113,Akaashiswife,RT @goremachines: somebody buy me these pjssssss #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/BPGnGPw6TO
114,em,RT @minsthinspo: tags: #thinspo #armspo #legso #edtwt #proana #bonespo https://t.co/LtyLJhFcg2
115,Y,RT @goremachines: 2022 resolution: get skinny #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/Vm3itx7hzv
116,🪴~sok~🪴,"RT @S4L3M444: hi ! new to edtwt so here

im 14 years old
ive had an ed for most of my life
weight : 87 lbs
gw : 70
thats pretty much it , f…"
117,chessy,"RT @spookysk1nny: habits of skinny people: a thread ❤️
#edtwt #proana #thinspo #skinnycore https://t.co/GmWFFLb5o3"
118,salem,"hi ! new to edtwt so here

im 14 years old
ive had an ed for most of my life
weight : 87 lbs
gw : 70
thats pretty much it , follow for moot

#edtwt #proana"
119,Ana Winter,Anorexics were fat but does collarbones #proana
120,pickle whore,RT @minsthinspo: tags: #thinspo #armspo #legso #edtwt #proana #bonespo https://t.co/LtyLJhFcg2
121,Thuspa¥,RT @goremachines: 2022 resolution: get skinny #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/Vm3itx7hzv
122,Aliyah | shtwt | edtwt,"Getting closer to 4 days :)
#edtwt #proana #thinspo #ana #eatingdisorder https://t.co/Y9cbTlvAt7"
123,🌸katriah🌸,"I haven't logged in to this account in so long. I haven't felt guilty about food in months, I'm pregnant with a little girl, I moved in with my boyfriend, I'm eating sushi tonight. I'm good.

I just wanted to say I'm good. It's getting better. #edtwt #proana #anatwt"
124,123,"RT @hungrydonteat: Current obsession thinspo pics (a small thread) &lt;3 
#thinspo #edtwt #proana #proanatwt #proed #miatwt #fatspo"
125,liz,i wish i had money to buy clothes #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/HOPw5nsiQO
126,Ronnie💀,"Do u think i lose 10-15 ish l1bs in 12 days????
#edtwt
#proanatwt
#proana
(Not pro just tags)"
